Fase de Investimento,N.. Transaccoes SCR,Preco Venda SCR,(%) 1 SCR,N.. Transaccoes FCR,Preco Venda FCR,(%) 1 FCR,N.. Transaccoes Total,Preco Venda Total,(%) 1 Total
Seed Capital,0,0,0,3,3301956.4,0.345028379,3,3301956.4,0.3385559577
Start-up,22,36802.7,0.2011531571,24,-1175804.7,-0.1228623096,46,-1139002,-0.1167840717
Early-stage,1,-269998.5,-1.475735494,1,0,0,2,-269998.5,-0.02768346692
Expansao,6,60201.4,0.3290438383,26,6259448.7,0.6540629786,32,6319650.1,0.6479659126
Capital de Substituicao,16,-35657.6,-0.1948943641,6,-23764.6,-0.002483213108,22,-59422.2,-0.006092672766
Turnaround,0,0,0,6,1031080,0.1077397209,6,1031080,0.1057186209
Ref. Divida bancaria,0,0,0,0,0,0,0,0,0
Management buy out,1,18.3,0.0001000226281,2,-933.3,-0.00009752248276,3,-915,-0.00009381671464
Management buy in,0,0,0,1,0,0.01861196678,1,0,0
Outros,9,391592.3,2.14033284,1,178118.4,0.01861196678,10,569710.7,0.0584135368
Total,55,182958.6,1,70,9570100.9,1.018611967,125,9753059.5,1