Criterio,N.. de contratos SCR,Valorizacao em carteira SCR,N.. de contratos FCR,Valorizacao em carteira FCR,N.. de contratos Total,Valorizacao em carteira Total
Multiplo,0,0,2,0,2,0
Valor de mercado,0,0,8,188.2,8,188.2
Avaliacao,33,691,276,2731.3,309,3422.3
"Indexado a performance da empresa, com min e maximo definidos",2,87,5,4597.5,7,4684.5
Indexado a performance da empresa,4,-58.6,5,-5.5,9,-64.1
Capitalizacao do valor de aquisicao (indexado a Euribox),6,45.4,25,40860.6,31,40906
Valor de aquisicao,0,0,0,0,0,0
Preco fixo,3,210.2,27,28696.6,30,28906.8
Valorizacao anual fixa,0,0,2,17042.9,2,17042.9
Contrato (define formula de calculo),7,0,108,1121.1,115,1121.1
Indexado aos subsidios recebidos,0,0,0,0,0,0
"Omisso, nao identificado",0,0,2,0,2,0
Total,55,975,460,95232.7,515,96207.7